Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kyoto,KYOTO,"<p><strong>KYOTO (formerly China Rain)</strong></p>
<h3>Evocation</h3>
<p>The bamboo groves of Arashiyama sway above a river that has flowed past temples for over a thousand years. In spring, cherry blossoms fall onto the water and float downstream.</p>
<p>KYOTO captures that transient grace: a very classic scent—China Rain—with its unmistakable petrichor quality. Very beautiful, fresh, with that sense of water lily and light musk.</p>
<p>The genius of Japanese aesthetics is knowing when to stop—restraint not as limitation but as refinement. KYOTO carries that same lightness.</p>
<h3>On Skin</h3>
<p>Light green top notes open with the freshness of bamboo after rain. Petrichor—that specific scent of rain on warm stone—defines the heart, joined by water lily's soft aquatic character.</p>
<p>KYOTO does not try to hold on. It opens, releases, trusts the current. A fragrance for those who understand that the most beautiful things are also the most temporary.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",TRUE,Size,12ml,TIDAL-KYOTO-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,2,KYOTO,FALSE,KYOTO,KYOTO (formerly China Rain) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
clarity,CLARITY,"<p><strong>CLARITY (formerly Himalayan Musk)</strong></p>
<h3>Evocation</h3>
<p>Above 3,400 meters, the air thins and something changes. The mind quiets. Thoughts that seemed essential at sea level reveal themselves as noise.</p>
<p>CLARITY captures that ascent: very fresh and very breezy—like the Himalayan mountains. Airy and uplifting but not overwhelming, wears close to you.</p>
<p>CLARITY offers the same gift: a scent that strips away noise and leaves only what is essential, what is true, what survives the climb.</p>
<h3>On Skin</h3>
<p>Fresh, breezy notes open with the immediacy of high altitude—clean, crisp, stripped of everything unnecessary. The scent stays airy and uplifting throughout.</p>
<p>CLARITY offers what mountains offer: the elimination of noise, the revelation of essence. For those who need to think more clearly, act more decisively.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,6ml,PETAL-CLARITY-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Aseel_577f0749-a8c5-4a0a-a414-0b893d7921ab.jpg?v=1758669516,1,CLARITY,FALSE,CLARITY,CLARITY (formerly Himalayan Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
clarity,CLARITY,"<p><strong>CLARITY (formerly Himalayan Musk)</strong></p>
<h3>Evocation</h3>
<p>Above 3,400 meters, the air thins and something changes. The mind quiets. Thoughts that seemed essential at sea level reveal themselves as noise.</p>
<p>CLARITY captures that ascent: very fresh and very breezy—like the Himalayan mountains. Airy and uplifting but not overwhelming, wears close to you.</p>
<p>CLARITY offers the same gift: a scent that strips away noise and leaves only what is essential, what is true, what survives the climb.</p>
<h3>On Skin</h3>
<p>Fresh, breezy notes open with the immediacy of high altitude—clean, crisp, stripped of everything unnecessary. The scent stays airy and uplifting throughout.</p>
<p>CLARITY offers what mountains offer: the elimination of noise, the revelation of essence. For those who need to think more clearly, act more decisively.</p>",Tarife Attär,Atlas Collection,"Atlas, PETAL",TRUE,Size,12ml,PETAL-CLARITY-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/Aseel_577f0749-a8c5-4a0a-a414-0b893d7921ab.jpg?v=1758669516,2,CLARITY,FALSE,CLARITY,CLARITY (formerly Himalayan Musk) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
delmar,DELMAR,"<p><strong>DELMAR</strong></p>
<h3>Evocation</h3>
<p>The Amalfi Coast was never supposed to support life—all vertical cliff and thin soil, lemon terraces carved into rock by centuries of stubborn agriculture.</p>
<p>DELMAR captures that tension between harsh and lush, between salt and sweet. A very fresh, realistic scent of salty ocean—the liminal edge where the cliff meets the sea.</p>
<p>The coast does not care about productivity. It exists where it wants, blooms when it is ready. DELMAR carries that same energy: unhurried, generous, unconcerned with performance.</p>
<h3>On Skin</h3>
<p>Bergamot and lemon open with Mediterranean brightness, immediately joined by the realistic salt of seaweed. Hedione provides jasmine-tinged airiness while Ambroxan adds its magic.</p>
<p>DELMAR does not perform. It exists. There is a generosity here that cannot be manufactured: the freshness of salt air, the warmth of sun-baked stone.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",TRUE,Size,6ml,TIDAL-DELMAR-6ML,,shopify,1,deny,manual,30,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,1,DELMAR,FALSE,DELMAR,DELMAR - Atlas Collection,,,,,,,,,,,,,,,g,,,active
delmar,DELMAR,"<p><strong>DELMAR</strong></p>
<h3>Evocation</h3>
<p>The Amalfi Coast was never supposed to support life—all vertical cliff and thin soil, lemon terraces carved into rock by centuries of stubborn agriculture.</p>
<p>DELMAR captures that tension between harsh and lush, between salt and sweet. A very fresh, realistic scent of salty ocean—the liminal edge where the cliff meets the sea.</p>
<p>The coast does not care about productivity. It exists where it wants, blooms when it is ready. DELMAR carries that same energy: unhurried, generous, unconcerned with performance.</p>
<h3>On Skin</h3>
<p>Bergamot and lemon open with Mediterranean brightness, immediately joined by the realistic salt of seaweed. Hedione provides jasmine-tinged airiness while Ambroxan adds its magic.</p>
<p>DELMAR does not perform. It exists. There is a generosity here that cannot be manufactured: the freshness of salt air, the warmth of sun-baked stone.</p>",Tarife Attär,Atlas Collection,"Atlas, TIDAL",TRUE,Size,12ml,TIDAL-DELMAR-12ML,,shopify,1,deny,manual,50,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/3fb518e60ebffb7872e3ef663ba4152c1b41b71f-1200x1200.jpg,2,DELMAR,FALSE,DELMAR,DELMAR - Atlas Collection,,,,,,,,,,,,,,,g,,,active
ethiopia,ETHIOPIA,"<p><strong>ETHIOPIA (formerly Frankincense & Myrrh)</strong></p>
<h3>Evocation</h3>
<p>In the highlands of northern Ethiopia, eleven churches stand that were not built but carved—excavated downward into living rock in the 12th century by devotion so complete it moved mountains.</p>
<p>ETHIOPIA captures that quality of sacred labor—frankincense and myrrh as they have burned in Ethiopian Orthodox liturgy for over a thousand years. The softer truth of materials warmed by centuries of prayer.</p>
<p>The sacred does not announce itself. It settles quietly into the room, into the skin, and changes the quality of attention. A centering presence that asks nothing but offers everything.</p>
<h3>On Skin</h3>
<p>Frankincense opens with characteristic brightness—citrus and pine before the resin reveals itself. Myrrh joins with bittersweet depth. Labdanum adds amber warmth while cedarwood provides architecture. Benzoin softens everything.</p>
<p>This is perfume oil—frankincense and myrrh joined by labdanum, cedarwood, and benzoin. The sacred settling quietly, changing the quality of attention.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,6ml,EMBER-ETHIOPIA-6ML,,shopify,1,deny,manual,28,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/f0909a856b4e952c4e85f3a3fbe570e282ca1134-1200x1200.jpg,1,ETHIOPIA,FALSE,ETHIOPIA,ETHIOPIA (formerly Frankincense & Myrrh) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
ethiopia,ETHIOPIA,"<p><strong>ETHIOPIA (formerly Frankincense & Myrrh)</strong></p>
<h3>Evocation</h3>
<p>In the highlands of northern Ethiopia, eleven churches stand that were not built but carved—excavated downward into living rock in the 12th century by devotion so complete it moved mountains.</p>
<p>ETHIOPIA captures that quality of sacred labor—frankincense and myrrh as they have burned in Ethiopian Orthodox liturgy for over a thousand years. The softer truth of materials warmed by centuries of prayer.</p>
<p>The sacred does not announce itself. It settles quietly into the room, into the skin, and changes the quality of attention. A centering presence that asks nothing but offers everything.</p>
<h3>On Skin</h3>
<p>Frankincense opens with characteristic brightness—citrus and pine before the resin reveals itself. Myrrh joins with bittersweet depth. Labdanum adds amber warmth while cedarwood provides architecture. Benzoin softens everything.</p>
<p>This is perfume oil—frankincense and myrrh joined by labdanum, cedarwood, and benzoin. The sacred settling quietly, changing the quality of attention.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,12ml,EMBER-ETHIOPIA-12ML,,shopify,1,deny,manual,48,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/f0909a856b4e952c4e85f3a3fbe570e282ca1134-1200x1200.jpg,2,ETHIOPIA,FALSE,ETHIOPIA,ETHIOPIA (formerly Frankincense & Myrrh) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
granada,GRANADA,"<p><strong>GRANADA (formerly Granada Amber)</strong></p>
<h3>Evocation</h3>
<p>The Albaicín climbs the hill opposite the Alhambra, its white walls and hidden gardens a living record of Moorish Granada. Walk these alleys in evening and the old quarter reveals what it holds.</p>
<p>GRANADA captures that specific warmth—amber in its truest sense. Not bright, not sharp, but deep and enveloping. Essentially liquid amber: warm, woody, sweet, substantial.</p>
<p>The Moors called this place the last sigh. Beauty that knows its own impermanence, sweetness that contains its own shadow.</p>
<h3>On Skin</h3>
<p>Warm amber opens immediately—no preamble, no apology. Deep, resinous, glowing from within. Woody notes provide structure while vanilla adds sweetness that never cloys. The amber accord persists and persists.</p>
<p>It envelops you like the Albaicín climbing the hill opposite the Alhambra. A fragrance that seems to understand impermanence—beauty that releases gracefully, but leaves its warmth behind.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,6ml,EMBER-GRANADA-6ML,,shopify,1,deny,manual,28,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/588488817c5cc88cc0efe6222821791f4301df49-1200x1200.jpg,1,GRANADA,FALSE,GRANADA,GRANADA (formerly Granada Amber) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
granada,GRANADA,"<p><strong>GRANADA (formerly Granada Amber)</strong></p>
<h3>Evocation</h3>
<p>The Albaicín climbs the hill opposite the Alhambra, its white walls and hidden gardens a living record of Moorish Granada. Walk these alleys in evening and the old quarter reveals what it holds.</p>
<p>GRANADA captures that specific warmth—amber in its truest sense. Not bright, not sharp, but deep and enveloping. Essentially liquid amber: warm, woody, sweet, substantial.</p>
<p>The Moors called this place the last sigh. Beauty that knows its own impermanence, sweetness that contains its own shadow.</p>
<h3>On Skin</h3>
<p>Warm amber opens immediately—no preamble, no apology. Deep, resinous, glowing from within. Woody notes provide structure while vanilla adds sweetness that never cloys. The amber accord persists and persists.</p>
<p>It envelops you like the Albaicín climbing the hill opposite the Alhambra. A fragrance that seems to understand impermanence—beauty that releases gracefully, but leaves its warmth behind.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,12ml,EMBER-GRANADA-12ML,,shopify,1,deny,manual,48,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/588488817c5cc88cc0efe6222821791f4301df49-1200x1200.jpg,2,GRANADA,FALSE,GRANADA,GRANADA (formerly Granada Amber) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
havana,HAVANA,"<p><strong>HAVANA (formerly Oud & Tobacco)</strong></p>
<h3>Evocation</h3>
<p>The crumbling glory of Habana Vieja exists in permanent golden hour—the light somehow always amber, always forgiving, turning decay into romance. Tobacco leaves hang in doorways to dry.</p>
<p>HAVANA captures that specific decadence: tobacco not as smoke but as leaf, honeyed and slightly fermented. Woody tobacco with boozy warmth—like whiskey aged in salt air.</p>
<p>The sweetness here is not innocent. It knows what it is doing. Smoky and beautiful, truly unisex, capturing crumbling glory in permanent golden hour.</p>
<h3>On Skin</h3>
<p>Agarwood and tobacco open with woody warmth, neither apologizing. A boozy whiskey accord adds decadence. Vanilla strings through everything, and smoky notes linger like the best Havana evenings.</p>
<p>The sweetness knows exactly what it is doing: warm, slightly dangerous, impossibly inviting. A fragrance for late afternoons that become late evenings.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",TRUE,Size,6ml,TERRA-HAVANA-6ML,,shopify,1,deny,manual,33,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/freepik__create-a-luxury-ecommerce-studioquality-editorial-__16840.png?v=1758669389,1,HAVANA,FALSE,HAVANA,HAVANA (formerly Oud & Tobacco) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
havana,HAVANA,"<p><strong>HAVANA (formerly Oud & Tobacco)</strong></p>
<h3>Evocation</h3>
<p>The crumbling glory of Habana Vieja exists in permanent golden hour—the light somehow always amber, always forgiving, turning decay into romance. Tobacco leaves hang in doorways to dry.</p>
<p>HAVANA captures that specific decadence: tobacco not as smoke but as leaf, honeyed and slightly fermented. Woody tobacco with boozy warmth—like whiskey aged in salt air.</p>
<p>The sweetness here is not innocent. It knows what it is doing. Smoky and beautiful, truly unisex, capturing crumbling glory in permanent golden hour.</p>
<h3>On Skin</h3>
<p>Agarwood and tobacco open with woody warmth, neither apologizing. A boozy whiskey accord adds decadence. Vanilla strings through everything, and smoky notes linger like the best Havana evenings.</p>
<p>The sweetness knows exactly what it is doing: warm, slightly dangerous, impossibly inviting. A fragrance for late afternoons that become late evenings.</p>",Tarife Attär,Atlas Collection,"Atlas, TERRA",TRUE,Size,12ml,TERRA-HAVANA-12ML,,shopify,1,deny,manual,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1989/5889/files/freepik__create-a-luxury-ecommerce-studioquality-editorial-__16840.png?v=1758669389,2,HAVANA,FALSE,HAVANA,HAVANA (formerly Oud & Tobacco) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
caravan,CARAVAN,"<p><strong>CARAVAN (formerly Honey Oudh)</strong></p>
<h3>Evocation</h3>
<p>The Silk Road was never one road. It was ten thousand paths converging at caravanserais—walled courtyards where merchants rested and sealed their most precious cargo.</p>
<p>CARAVAN captures that in-between state: the scent of goods improving in transit. Honey leaking onto oud, amber warming against skin across a thousand miles. Patience made aromatic.</p>
<p>This is sweetness earned through labor. Golden and resinous, it carries every mile of the ancient road. Unhurried. Substantial. Comfort from taking the long way.</p>
<h3>On Skin</h3>
<p>Golden honey meets precious agarwood in an opening that feels ancient and inevitable. Cinnamon warms while amber provides the golden glow. Vanilla wraps everything in comfort.</p>
<p>Warm without being cloying, rich without being heavy. The kind of scent that makes strangers lean closer. Designed to be discovered, not announced.</p>",Tarife Attär,Atlas Collection,"Atlas, EMBER",TRUE,Size,6ml,EMBER-CARAVAN-6ML,,shopify,1,deny,manual,28,,TRUE,TRUE,,https://cdn.sanity.io/images/8h5l91ut/production/653d420ae92b21ca781aaedbf690b3f31d01026f-1200x1200.jpg,1,CARAVAN,FALSE,CARAVAN,CARAVAN (formerly Honey Oudh) - Atlas Collection,,,,,,,,,,,,,,,g,,,active
